,name,width,height,mean_hue,mean_saturation,mean_value,mean_entropy,edge_sum
82,174,147,100,0.3428789422061468,0.4159388888313476,0.7736366546618647,4.03376576463189,0.47295405358303333
83,175,147,100,0.35791216807373494,0.36037930731470574,0.6245586234493798,4.697613380927783,0.47461067118905875
84,176,147,100,0.20587248849319234,0.37370065230678456,0.3412621048419368,4.256251835105485,0.38765407049025363
85,179,147,100,0.27339660501019597,0.2960188739494333,0.3812063492063492,5.352180628631204,0.49730826389864213
86,180,147,100,0.2731911737839028,0.2936153964698183,0.4598983593437375,4.861820242508167,0.4898864540198131
87,181,147,100,0.2242768162087396,0.514485335048797,0.5140482859810591,5.362808313015191,0.7000432581945288
88,182,147,100,0.38756172974345454,0.2331188213937416,0.41357449646525274,4.915743972888045,0.4217478839516742
89,183,147,100,0.3659101105161398,0.29467501341460484,0.36100226757369613,5.004970005872612,0.47267531785109984
90,186,147,100,0.21896273475293174,0.2715574816400958,0.4795859677204214,4.9171625762685265,0.5608591346633025
91,187,147,100,0.31726230778338305,0.41406034422820565,0.7177209550486862,3.767122181306288,0.4184590454467242
92,188,147,100,0.44217465155291874,0.5156591004870326,0.7352879818594105,3.3288986346192146,0.30288178756723233
93,189,147,100,0.4767368789151151,0.5097280571499875,0.4867058823529412,3.2343975109399374,0.3327548737674457
94,19,99,99,0.2836783709797389,0.42209137581513034,0.470102090422946,4.677170137571305,0.600751267329687
95,2,99,99,0.14171270729303528,0.3827423347058266,0.6275794186667626,4.51095381223415,0.5025783828871216
96,21,67,98,0.4160530574516341,0.5214953889993881,0.7146464555971642,4.568440967213902,0.5817810833656691
97,22,99,99,0.20895142635265987,0.5771080016207513,0.6626026555913663,5.02404047374717,0.5893667227929161
98,23,99,99,0.3359802417425558,0.4132500758616366,0.5221139899690107,4.270294074595824,0.44343896791901455
99,24,99,99,0.4848810367304743,0.36827671631395653,0.5229194299901372,3.913278239687307,0.5502979326193977
100,25,99,99,0.32831232567216284,0.5482905504611085,0.4710171631146081,4.610065917506636,0.60821420672903
101,26,99,99,0.40324211469676247,0.4659056887030165,0.5323710465718784,5.217650385685705,0.5631303967395872
102,27,99,99,0.39966141661453547,0.5771720808771682,0.4869143004615376,4.6932599135039155,0.7582999332878024
103,28,67,98,0.5739293611369017,0.7965945585258244,0.696339431294906,4.091639658052933,0.42859518302488275
104,29,99,99,0.4261190689798177,0.2316494124125,0.6520267039577794,4.489590750038681,0.49353416911158066
105,3,99,99,0.37593798250521476,0.3809732041399002,0.5737941906688193,5.579786397323744,0.9431526192262071
106,30,99,99,0.5896810446286334,0.43061252691167295,0.5147489952005697,4.092939041738715,0.44080311167764524
107,33,99,99,0.3999714795429567,0.4636655028759515,0.6671620142802556,4.566357578424898,0.4899248234486518
108,35,67,98,0.4856737087812298,0.2743938376418104,0.6195732024152945,5.241906901231308,1.0293571477235697
109,36,99,99,0.36536483211058945,0.47952619560059684,0.7334073553919068,5.113242046675315,0.6516518073239942
110,37,99,99,0.50197583811422,0.4019959708053288,0.7430570309952366,4.182320710501191,0.5310065079907929
111,38,99,99,0.7067873973519533,0.2917825706109991,0.37058003284978924,3.424701255328071,0.5081143298281354
